s_fpssm0,s_fpssm1,s_fpssm2,s_fpssm3,s_fpssm4,s_fpssm5,s_fpssm6,s_fpssm7,s_fpssm8,s_fpssm9,s_fpssm10,s_fpssm11,s_fpssm12,s_fpssm13,s_fpssm14,s_fpssm15,s_fpssm16,s_fpssm17,s_fpssm18,s_fpssm19,s_fpssm20,s_fpssm21,s_fpssm22,s_fpssm23,s_fpssm24,s_fpssm25,s_fpssm26,s_fpssm27,s_fpssm28,s_fpssm29,s_fpssm30,s_fpssm31,s_fpssm32,s_fpssm33,s_fpssm34,s_fpssm35,s_fpssm36,s_fpssm37,s_fpssm38,s_fpssm39,s_fpssm40,s_fpssm41,s_fpssm42,s_fpssm43,s_fpssm44,s_fpssm45,s_fpssm46,s_fpssm47,s_fpssm48,s_fpssm49,s_fpssm50,s_fpssm51,s_fpssm52,s_fpssm53,s_fpssm54,s_fpssm55,s_fpssm56,s_fpssm57,s_fpssm58,s_fpssm59,s_fpssm60,s_fpssm61,s_fpssm62,s_fpssm63,s_fpssm64,s_fpssm65,s_fpssm66,s_fpssm67,s_fpssm68,s_fpssm69,s_fpssm70,s_fpssm71,s_fpssm72,s_fpssm73,s_fpssm74,s_fpssm75,s_fpssm76,s_fpssm77,s_fpssm78,s_fpssm79,s_fpssm80,s_fpssm81,s_fpssm82,s_fpssm83,s_fpssm84,s_fpssm85,s_fpssm86,s_fpssm87,s_fpssm88,s_fpssm89,s_fpssm90,s_fpssm91,s_fpssm92,s_fpssm93,s_fpssm94,s_fpssm95,s_fpssm96,s_fpssm97,s_fpssm98,s_fpssm99,s_fpssm100,s_fpssm101,s_fpssm102,s_fpssm103,s_fpssm104,s_fpssm105,s_fpssm106,s_fpssm107,s_fpssm108,s_fpssm109,s_fpssm110,s_fpssm111,s_fpssm112,s_fpssm113,s_fpssm114,s_fpssm115,s_fpssm116,s_fpssm117,s_fpssm118,s_fpssm119,s_fpssm120,s_fpssm121,s_fpssm122,s_fpssm123,s_fpssm124,s_fpssm125,s_fpssm126,s_fpssm127,s_fpssm128,s_fpssm129,s_fpssm130,s_fpssm131,s_fpssm132,s_fpssm133,s_fpssm134,s_fpssm135,s_fpssm136,s_fpssm137,s_fpssm138,s_fpssm139,s_fpssm140,s_fpssm141,s_fpssm142,s_fpssm143,s_fpssm144,s_fpssm145,s_fpssm146,s_fpssm147,s_fpssm148,s_fpssm149,s_fpssm150,s_fpssm151,s_fpssm152,s_fpssm153,s_fpssm154,s_fpssm155,s_fpssm156,s_fpssm157,s_fpssm158,s_fpssm159,s_fpssm160,s_fpssm161,s_fpssm162,s_fpssm163,s_fpssm164,s_fpssm165,s_fpssm166,s_fpssm167,s_fpssm168,s_fpssm169,s_fpssm170,s_fpssm171,s_fpssm172,s_fpssm173,s_fpssm174,s_fpssm175,s_fpssm176,s_fpssm177,s_fpssm178,s_fpssm179,s_fpssm180,s_fpssm181,s_fpssm182,s_fpssm183,s_fpssm184,s_fpssm185,s_fpssm186,s_fpssm187,s_fpssm188,s_fpssm189,s_fpssm190,s_fpssm191,s_fpssm192,s_fpssm193,s_fpssm194,s_fpssm195,s_fpssm196,s_fpssm197,s_fpssm198,s_fpssm199,s_fpssm200,s_fpssm201,s_fpssm202,s_fpssm203,s_fpssm204,s_fpssm205,s_fpssm206,s_fpssm207,s_fpssm208,s_fpssm209,s_fpssm210,s_fpssm211,s_fpssm212,s_fpssm213,s_fpssm214,s_fpssm215,s_fpssm216,s_fpssm217,s_fpssm218,s_fpssm219,s_fpssm220,s_fpssm221,s_fpssm222,s_fpssm223,s_fpssm224,s_fpssm225,s_fpssm226,s_fpssm227,s_fpssm228,s_fpssm229,s_fpssm230,s_fpssm231,s_fpssm232,s_fpssm233,s_fpssm234,s_fpssm235,s_fpssm236,s_fpssm237,s_fpssm238,s_fpssm239,s_fpssm240,s_fpssm241,s_fpssm242,s_fpssm243,s_fpssm244,s_fpssm245,s_fpssm246,s_fpssm247,s_fpssm248,s_fpssm249,s_fpssm250,s_fpssm251,s_fpssm252,s_fpssm253,s_fpssm254,s_fpssm255,s_fpssm256,s_fpssm257,s_fpssm258,s_fpssm259,s_fpssm260,s_fpssm261,s_fpssm262,s_fpssm263,s_fpssm264,s_fpssm265,s_fpssm266,s_fpssm267,s_fpssm268,s_fpssm269,s_fpssm270,s_fpssm271,s_fpssm272,s_fpssm273,s_fpssm274,s_fpssm275,s_fpssm276,s_fpssm277,s_fpssm278,s_fpssm279,s_fpssm280,s_fpssm281,s_fpssm282,s_fpssm283,s_fpssm284,s_fpssm285,s_fpssm286,s_fpssm287,s_fpssm288,s_fpssm289,s_fpssm290,s_fpssm291,s_fpssm292,s_fpssm293,s_fpssm294,s_fpssm295,s_fpssm296,s_fpssm297,s_fpssm298,s_fpssm299,s_fpssm300,s_fpssm301,s_fpssm302,s_fpssm303,s_fpssm304,s_fpssm305,s_fpssm306,s_fpssm307,s_fpssm308,s_fpssm309,s_fpssm310,s_fpssm311,s_fpssm312,s_fpssm313,s_fpssm314,s_fpssm315,s_fpssm316,s_fpssm317,s_fpssm318,s_fpssm319,s_fpssm320,s_fpssm321,s_fpssm322,s_fpssm323,s_fpssm324,s_fpssm325,s_fpssm326,s_fpssm327,s_fpssm328,s_fpssm329,s_fpssm330,s_fpssm331,s_fpssm332,s_fpssm333,s_fpssm334,s_fpssm335,s_fpssm336,s_fpssm337,s_fpssm338,s_fpssm339,s_fpssm340,s_fpssm341,s_fpssm342,s_fpssm343,s_fpssm344,s_fpssm345,s_fpssm346,s_fpssm347,s_fpssm348,s_fpssm349,s_fpssm350,s_fpssm351,s_fpssm352,s_fpssm353,s_fpssm354,s_fpssm355,s_fpssm356,s_fpssm357,s_fpssm358,s_fpssm359,s_fpssm360,s_fpssm361,s_fpssm362,s_fpssm363,s_fpssm364,s_fpssm365,s_fpssm366,s_fpssm367,s_fpssm368,s_fpssm369,s_fpssm370,s_fpssm371,s_fpssm372,s_fpssm373,s_fpssm374,s_fpssm375,s_fpssm376,s_fpssm377,s_fpssm378,s_fpssm379,s_fpssm380,s_fpssm381,s_fpssm382,s_fpssm383,s_fpssm384,s_fpssm385,s_fpssm386,s_fpssm387,s_fpssm388,s_fpssm389,s_fpssm390,s_fpssm391,s_fpssm392,s_fpssm393,s_fpssm394,s_fpssm395,s_fpssm396,s_fpssm397,s_fpssm398,s_fpssm399,target
32,0,2,0,8,1,0,7,2,2,0,0,0,0,1,6,0,0,0,4,1,49,12,1,1,9,4,0,6,1,1,31,0,0,2,1,0,5,4,0,0,4,16,6,0,2,2,0,1,0,0,9,0,0,2,2,1,0,0,0,0,1,5,19,0,4,4,1,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,4,0,0,1,0,6,0,0,0,0,0,0,0,0,0,5,0,1,3,0,0,11,1,3,0,0,0,3,2,0,3,1,0,2,0,0,0,6,1,4,0,0,15,0,1,0,2,14,2,0,1,1,0,0,0,2,1,5,7,5,6,0,4,47,8,0,0,14,3,1,5,5,0,1,1,0,0,1,2,0,0,0,0,1,0,0,0,3,0,0,1,1,0,0,0,0,4,5,0,0,3,0,0,1,0,42,10,7,5,7,1,0,1,0,2,31,0,0,0,0,11,0,0,0,2,21,26,1,11,6,0,0,0,0,7,16,0,23,3,0,1,5,1,1,8,2,2,46,6,0,2,2,2,6,3,3,0,4,1,0,0,2,2,0,0,3,2,3,9,2,4,1,2,1,3,2,0,1,0,0,2,0,0,0,4,0,0,2,1,9,0,0,2,2,9,0,0,1,2,0,0,2,1,1,0,0,0,6,0,0,26,3,1,1,0,1,3,5,1,0,2,1,2,3,5,1,0,6,3,0,0,15,6,0,1,1,7,0,2,0,1,3,0,1,1,0,0,1,1,0,5,12,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,3,0,2,2,1,0,16,1,0,1,4,37,13,0,8,8,2,0,2,9,7,45,1
64,2,12,5,15,21,13,18,8,15,16,18,14,17,15,24,2,11,6,17,4,30,6,0,0,17,3,0,8,2,1,29,8,1,2,2,0,3,4,0,0,0,15,1,0,0,0,0,3,0,0,3,0,0,0,1,3,1,0,0,1,0,9,13,1,9,16,0,7,0,0,10,0,0,2,1,0,2,0,0,0,0,1,2,1,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,3,0,11,11,1,1,0,0,6,0,0,0,0,1,0,0,0,3,3,9,24,0,21,54,1,3,0,0,22,1,0,0,5,2,1,0,2,0,4,12,5,6,5,3,16,5,2,3,3,2,3,1,4,3,0,1,3,0,1,1,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,16,12,0,8,6,0,0,0,5,7,11,6,7,1,0,2,2,1,1,0,24,44,9,21,18,1,1,1,3,6,11,0,10,10,7,0,16,8,1,3,0,1,28,2,0,1,1,0,1,0,1,2,0,0,0,3,0,0,0,2,8,12,0,16,4,0,0,0,2,5,7,0,0,1,0,7,1,0,0,4,6,7,0,7,15,1,0,0,15,11,3,0,0,4,5,0,3,1,4,1,0,0,0,1,0,10,4,2,0,0,0,3,2,1,3,2,1,4,1,4,2,1,4,3,4,7,6,1,2,7,2,4,1,15,3,3,3,0,0,2,2,2,6,0,2,2,12,27,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,3,0,1,1,1,7,1,6,0,0,1,2,4,0,10,1,0,0,3,2,1,1,3,35,21,5,15,14,0,0,1,3,10,43,1
74,5,5,2,17,2,5,8,12,8,1,4,3,5,0,22,1,3,6,10,3,69,3,0,6,9,1,5,11,3,0,52,3,1,2,3,0,5,0,1,0,4,24,1,0,1,1,4,5,1,0,5,1,0,0,3,1,3,1,2,1,2,3,18,0,1,8,3,5,4,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,3,1,10,3,2,1,1,0,9,1,0,0,2,1,0,1,0,0,12,8,12,2,10,34,1,9,0,0,8,3,0,17,0,1,2,4,1,3,2,5,0,0,5,4,30,5,0,0,8,1,0,9,8,0,3,6,0,0,4,2,0,0,0,2,2,5,0,0,0,4,0,0,0,0,0,4,0,5,2,0,0,1,0,0,0,3,14,7,1,7,4,1,1,0,0,3,5,0,5,1,1,6,5,4,0,3,34,42,6,24,13,0,0,0,0,2,22,0,25,5,1,2,13,6,0,1,4,1,56,4,1,6,3,6,1,1,2,0,0,0,0,0,3,0,0,0,6,7,0,16,4,0,0,0,2,2,2,1,3,5,0,0,2,0,0,1,1,4,1,5,19,1,0,0,9,18,1,3,0,2,0,0,0,1,0,0,0,0,0,0,0,29,9,2,0,0,0,3,20,12,7,4,5,3,1,7,3,2,15,6,5,4,22,13,3,3,2,0,4,6,0,0,1,0,0,3,3,3,3,2,1,0,2,2,0,3,3,0,0,0,0,1,0,0,0,1,0,0,0,1,4,0,0,0,0,4,0,0,1,0,0,1,0,0,0,5,0,2,0,1,10,0,1,0,4,24,3,1,14,1,3,12,4,4,0,1,27,10,13,21,6,0,2,9,10,6,31,1
118,14,8,19,10,12,7,29,15,12,19,12,14,17,36,38,31,26,16,12,9,73,3,10,10,19,12,3,11,3,6,22,12,6,5,4,7,21,6,3,9,9,48,27,5,13,8,16,13,0,0,9,0,0,10,14,7,7,4,0,8,9,26,86,7,15,22,5,14,0,0,5,7,3,16,7,5,18,10,0,3,1,1,0,17,0,0,0,2,1,1,0,4,2,1,3,4,9,1,0,13,41,16,19,4,49,21,3,19,7,3,24,11,5,6,6,17,18,7,7,3,5,1,4,5,4,9,3,8,2,5,3,10,8,7,5,0,15,10,4,24,1,17,17,4,2,3,140,14,1,1,0,2,4,16,12,3,7,0,0,4,7,8,9,0,8,3,2,8,0,1,3,0,0,5,3,2,0,2,1,13,6,0,9,6,3,5,2,12,53,46,0,30,31,5,1,5,35,26,37,5,13,6,2,4,4,1,3,9,55,117,1,55,33,7,1,3,54,17,45,5,20,10,14,2,14,9,1,17,2,0,19,3,1,5,3,4,15,8,4,6,0,0,0,6,2,0,3,6,8,21,0,24,9,4,5,7,21,10,12,3,1,0,1,5,1,0,10,12,12,19,0,9,60,2,0,0,38,41,9,11,4,4,7,3,3,3,3,10,4,2,3,9,5,71,3,7,18,6,6,24,14,18,13,17,7,5,14,14,2,4,3,4,4,14,69,24,24,7,1,14,18,10,11,1,17,5,4,10,3,5,8,7,7,8,18,53,9,7,8,2,0,0,3,3,0,0,0,2,0,0,0,1,5,2,0,1,9,2,0,3,9,4,4,3,5,1,0,22,10,9,3,8,11,2,4,1,20,38,2,22,3,0,4,5,2,2,2,7,54,51,1,19,10,9,4,9,28,10,76,1
338,34,22,38,89,46,71,49,23,37,19,46,32,14,41,68,39,20,29,58,15,82,8,13,6,16,29,5,13,6,1,53,10,0,9,9,5,7,3,5,7,14,88,33,18,14,19,9,36,3,5,15,4,1,6,15,10,5,11,2,10,17,45,183,6,24,66,22,29,2,3,30,3,2,16,18,10,3,3,0,6,1,0,0,27,0,0,8,0,3,0,0,0,1,3,5,11,1,0,12,3,23,16,19,4,49,22,2,14,3,8,26,12,10,4,5,9,3,7,2,15,33,8,85,6,45,170,9,19,2,1,42,9,1,25,8,9,1,15,4,40,9,25,7,26,10,8,287,23,2,0,15,7,0,8,18,16,5,6,5,10,10,20,7,6,14,3,3,46,4,5,6,9,1,1,5,1,4,10,1,15,8,7,5,19,4,11,3,4,198,89,12,85,34,3,2,15,10,13,136,14,16,9,7,33,10,11,7,10,150,195,9,134,62,4,3,12,40,25,87,29,82,16,29,12,49,60,7,26,6,5,159,15,6,39,8,7,16,10,7,3,2,6,0,12,1,4,0,10,36,32,0,77,17,2,0,1,17,19,24,7,3,12,7,14,0,1,11,10,26,29,4,27,101,2,9,3,39,56,11,14,10,4,9,14,10,11,6,6,3,6,11,8,6,131,11,2,8,6,7,74,8,26,30,42,15,36,14,11,5,5,17,17,2,13,111,59,13,10,5,20,9,12,18,33,10,16,9,7,20,14,16,19,10,16,51,128,18,15,19,9,2,2,0,7,1,1,3,3,3,0,1,5,4,0,2,1,27,1,1,9,7,8,5,2,10,9,6,27,15,15,8,21,53,12,2,2,42,100,12,33,7,2,5,39,6,12,6,6,153,66,6,54,33,5,5,23,16,24,179,1
50,7,7,19,17,7,18,12,11,17,11,6,14,13,6,22,10,15,2,17,2,13,3,3,2,4,2,6,9,0,0,10,5,2,0,2,0,4,3,0,4,2,17,8,4,4,7,6,14,1,0,8,4,2,4,4,2,8,3,1,2,9,19,44,1,13,15,7,9,0,0,7,2,1,11,6,5,4,2,0,1,0,0,1,5,0,1,1,0,0,0,0,1,0,0,1,4,5,2,0,3,7,1,8,0,13,11,0,2,2,2,7,2,1,4,2,3,4,1,3,6,1,5,24,4,10,22,0,11,0,1,4,5,2,5,1,6,7,3,1,14,2,5,10,7,4,8,71,11,0,0,3,3,1,5,10,0,5,2,0,4,8,1,4,3,3,6,1,28,4,0,10,3,5,6,0,0,8,15,8,6,0,0,1,5,3,3,3,7,15,4,1,8,13,9,5,2,15,16,18,6,1,1,3,10,1,5,0,13,24,47,8,26,30,4,0,6,18,23,22,3,21,12,7,0,14,18,1,5,3,2,35,2,0,7,2,5,3,0,6,7,3,1,0,4,0,1,2,5,2,8,2,12,1,2,0,0,9,3,1,5,1,0,1,4,3,1,2,9,11,14,0,6,33,7,1,2,30,25,13,4,3,0,4,7,5,2,2,13,3,5,1,10,2,49,3,10,13,6,2,12,4,16,9,3,6,6,4,8,0,0,7,2,1,6,29,13,10,1,0,7,1,0,1,4,1,3,2,0,0,6,0,4,5,9,12,18,2,2,6,1,2,0,2,2,1,2,0,5,0,0,1,1,6,0,0,0,13,4,0,5,6,1,5,1,5,2,0,15,1,3,6,7,12,6,3,2,6,31,2,4,0,6,2,10,3,0,0,6,13,2,3,12,12,8,3,3,6,6,21,1
63,14,7,5,58,8,6,14,14,10,5,10,18,2,7,18,8,13,6,15,2,51,9,2,15,6,5,1,18,1,4,15,11,4,0,2,3,17,8,1,0,17,42,18,7,6,6,6,36,2,1,12,8,6,0,6,2,14,6,0,1,4,13,38,6,8,13,3,19,1,1,4,4,3,7,1,0,14,10,1,0,0,0,0,3,0,0,0,0,2,2,0,0,1,0,0,0,0,3,1,0,0,3,2,5,6,3,0,4,2,0,0,5,1,1,0,3,6,1,0,0,11,14,24,13,19,42,5,36,0,0,14,9,4,10,0,4,9,13,0,17,8,27,14,31,7,10,145,30,7,3,10,17,6,12,14,9,28,13,3,1,2,3,1,11,2,0,0,28,0,0,2,8,4,1,0,1,19,13,0,1,1,1,1,27,5,3,0,18,75,28,4,29,20,3,0,4,25,18,31,6,4,1,1,17,8,4,0,7,30,46,5,47,14,9,0,1,25,15,16,0,20,7,5,5,12,15,3,17,4,1,27,10,4,0,1,0,19,6,0,0,0,0,0,9,1,0,2,6,10,8,0,17,7,1,0,0,13,4,3,0,1,1,0,15,2,1,0,21,5,0,0,11,28,2,0,0,26,19,5,3,1,4,4,6,3,3,1,8,0,0,6,2,1,37,1,0,0,1,1,6,6,7,7,14,3,3,1,13,3,4,8,6,0,1,24,17,11,8,5,5,4,7,7,27,3,3,0,14,9,1,2,8,7,3,13,29,20,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,0,5,6,4,2,0,7,9,1,0,1,13,16,1,4,4,2,4,36,2,5,0,18,43,16,2,31,19,1,1,6,22,17,59,1
81,11,7,10,68,17,26,9,29,8,6,21,20,11,23,21,17,20,17,26,3,70,9,4,7,14,10,1,24,9,2,36,7,4,1,2,9,14,2,8,2,20,49,16,18,6,9,0,37,4,3,12,19,4,4,11,10,14,12,5,0,4,20,94,10,11,31,5,17,2,0,14,3,1,5,6,6,5,2,0,0,0,0,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,5,4,4,9,16,8,1,13,0,1,7,7,1,8,1,0,11,4,0,16,19,14,33,23,26,92,1,31,5,4,30,15,0,11,10,5,32,14,2,11,14,16,7,10,12,9,133,28,1,0,10,3,3,7,6,3,22,8,1,0,15,3,3,1,2,1,0,19,1,0,5,3,4,3,0,0,6,11,0,5,4,2,2,28,5,7,0,6,106,47,2,49,28,14,0,3,27,15,76,3,9,2,1,29,6,3,1,12,38,57,5,55,28,7,0,2,37,22,22,4,39,9,12,17,23,28,0,25,2,1,63,15,3,13,6,2,20,4,2,2,2,3,0,17,4,0,0,22,22,21,0,34,7,0,2,3,20,11,11,10,2,3,2,14,0,0,0,9,28,13,0,26,43,9,1,0,16,17,13,3,5,3,4,13,1,7,3,9,0,0,3,5,2,53,4,0,13,3,1,22,9,9,13,16,5,11,0,22,1,0,9,6,2,10,47,16,13,3,2,6,9,13,3,41,4,7,0,25,18,10,5,30,10,6,18,52,22,13,24,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4,0,1,2,3,1,6,1,2,0,8,1,0,2,3,5,1,0,2,13,8,0,17,2,2,1,59,7,2,0,24,80,19,1,43,25,10,5,15,33,18,76,1
50,5,7,7,27,11,24,3,16,21,11,13,19,21,17,5,6,22,13,7,2,22,13,6,10,12,9,1,21,1,4,10,10,2,6,3,2,13,8,0,3,10,56,35,10,9,16,7,29,6,6,16,7,5,6,5,2,23,11,3,9,9,32,80,8,21,36,3,23,0,2,16,5,1,16,14,4,18,2,0,1,0,1,0,2,0,0,0,4,8,5,0,1,7,0,0,0,7,3,9,3,9,7,1,3,25,8,4,15,2,6,9,9,1,5,1,1,10,1,1,2,11,20,28,15,23,62,2,27,4,5,12,18,10,4,3,3,25,12,7,19,4,33,15,26,8,6,120,16,0,1,14,5,5,19,7,2,10,6,0,1,2,2,3,3,0,4,0,21,0,2,4,1,4,0,2,1,2,8,0,2,0,3,0,28,0,0,0,12,62,25,0,38,25,5,1,8,39,22,29,5,1,7,1,21,9,3,0,31,45,93,4,59,43,11,5,6,47,22,25,8,38,20,12,12,25,27,1,34,1,0,68,8,6,2,6,5,22,8,0,3,4,3,1,3,2,1,3,6,9,14,3,12,7,1,1,3,12,7,3,4,3,3,0,11,1,1,5,5,9,17,2,14,60,3,0,6,33,31,7,6,1,1,9,6,3,5,1,5,3,2,4,3,1,69,6,4,18,1,2,6,0,21,20,22,6,12,7,17,4,6,7,11,12,5,47,18,22,11,2,4,13,20,10,7,9,9,0,11,8,2,12,2,6,11,8,32,7,6,2,0,1,1,1,0,0,0,1,3,0,0,1,0,5,0,0,0,1,8,0,6,3,2,7,19,7,6,5,29,4,6,0,16,32,3,1,3,37,64,1,3,5,5,1,16,2,2,1,28,39,17,2,17,32,6,2,6,15,14,41,1
55,7,6,2,56,9,9,18,23,2,3,3,23,7,17,11,8,28,8,6,1,77,9,14,12,7,10,7,29,2,3,15,14,6,6,1,0,32,7,0,6,5,40,26,17,5,13,1,38,6,2,5,9,5,5,10,4,12,7,4,6,3,24,83,24,5,27,11,19,0,2,5,6,7,26,9,10,24,2,2,1,0,0,0,12,1,0,0,5,2,1,0,7,5,0,0,0,10,5,1,3,12,5,6,5,14,14,2,17,0,0,13,3,9,4,2,0,12,8,0,9,22,11,45,8,27,84,9,27,2,4,17,9,12,12,1,7,27,13,3,11,2,9,13,28,3,4,83,23,1,2,3,17,9,3,3,2,38,11,1,1,4,7,8,10,8,11,7,36,0,0,1,6,7,3,1,3,19,15,0,8,0,1,0,21,1,1,0,9,55,32,2,30,22,4,0,1,24,10,34,8,4,0,0,34,5,2,0,18,39,65,1,48,44,8,1,4,52,12,34,9,50,9,19,4,18,32,4,15,4,6,56,4,0,14,6,3,3,2,2,4,1,1,3,19,5,5,2,15,5,12,0,21,18,9,0,0,27,17,4,4,3,1,1,18,1,0,3,28,14,23,0,31,87,11,2,5,65,51,5,0,3,0,1,15,3,1,2,20,2,3,0,8,2,76,2,2,5,5,0,15,11,5,13,20,5,13,5,27,4,2,3,15,5,10,47,21,16,6,7,8,14,4,6,25,4,5,1,21,11,4,4,23,7,14,14,35,29,10,10,1,0,0,0,5,0,2,1,5,4,5,0,2,11,2,0,0,23,14,1,2,5,2,3,11,3,1,0,18,1,1,1,10,15,0,2,1,25,26,1,5,6,6,1,24,2,0,1,15,35,12,6,23,12,13,2,3,24,11,34,1
93,7,10,3,41,5,4,11,14,11,13,7,12,7,15,14,9,10,18,22,0,35,6,0,3,8,5,0,12,0,0,19,4,1,1,2,1,12,7,0,0,7,34,25,8,6,6,5,17,0,1,6,3,0,5,7,6,12,2,0,0,6,8,30,3,3,18,9,9,1,0,4,2,2,10,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,8,1,12,12,1,13,0,0,8,1,2,4,1,0,9,2,0,6,28,6,42,4,20,86,3,21,2,2,16,4,1,1,4,2,13,2,0,26,2,8,10,16,2,5,151,17,1,0,2,6,3,9,15,5,11,4,5,0,2,1,0,2,1,0,0,9,0,0,0,2,1,1,0,0,6,7,0,5,0,4,0,15,4,0,8,9,90,37,0,26,11,8,1,6,20,5,54,9,3,0,0,21,0,0,1,6,45,70,1,31,23,3,0,2,23,12,26,5,37,6,10,10,13,20,2,19,0,3,38,8,2,11,5,7,7,6,1,2,1,0,1,1,1,1,0,3,12,9,1,24,7,6,0,4,6,5,4,0,3,0,6,7,0,1,0,9,11,3,0,8,21,2,1,0,18,13,8,4,5,1,10,9,1,0,2,9,4,2,3,4,3,62,3,6,14,1,1,9,3,13,14,3,1,2,13,9,0,0,2,2,2,7,39,9,4,3,0,1,5,5,1,9,2,0,3,13,0,5,7,11,3,2,12,43,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,6,1,0,1,11,4,2,0,12,19,1,3,3,34,29,6,6,1,0,0,14,0,0,0,7,48,17,0,21,14,2,0,1,24,18,52,1
84,6,4,9,31,7,11,13,25,2,1,12,14,11,4,10,5,20,5,16,1,54,5,4,9,13,11,0,25,0,0,17,9,1,5,4,4,9,10,2,0,8,40,22,15,8,7,8,27,0,0,8,7,3,3,9,1,4,7,0,3,6,15,66,7,8,25,6,20,0,1,7,3,2,12,4,9,10,7,0,2,0,3,0,17,0,0,0,5,0,0,0,2,2,0,0,0,10,3,2,1,7,9,6,5,23,10,2,15,3,2,7,6,1,6,2,1,6,8,5,6,19,7,25,10,26,75,3,27,0,0,16,9,5,7,5,1,21,11,0,24,11,12,20,26,3,8,112,17,2,0,6,6,2,13,10,6,38,8,5,1,4,0,5,0,2,3,0,16,0,0,3,1,1,2,0,0,6,10,0,6,4,1,8,33,6,3,0,12,51,25,3,36,36,9,1,2,31,21,37,9,6,0,3,19,7,7,0,11,30,46,1,40,27,9,1,4,53,22,16,0,38,10,12,16,16,18,3,31,2,2,50,16,4,4,3,1,26,9,2,0,6,1,3,11,3,3,0,5,21,21,0,39,8,4,1,2,6,9,11,2,1,2,1,13,1,2,0,19,1,9,2,11,24,0,1,2,31,22,3,1,0,1,4,17,2,6,1,12,1,0,0,7,1,72,2,5,7,2,1,15,8,6,15,21,7,13,1,22,9,4,9,22,3,6,30,16,18,15,9,7,8,6,5,26,12,11,2,18,10,3,8,16,5,6,6,24,20,14,9,0,1,0,0,6,0,1,0,4,1,1,0,5,7,0,0,0,13,4,2,5,2,6,2,8,3,3,6,18,9,10,2,15,19,1,2,3,32,39,3,8,6,1,0,39,5,2,0,17,47,10,1,36,12,1,0,6,24,10,55,1
31,8,1,3,8,7,8,2,8,3,2,7,5,2,7,2,3,1,8,4,7,61,3,7,0,16,11,8,16,0,1,29,0,0,4,2,0,1,1,2,0,1,7,11,0,1,5,0,9,0,0,1,0,1,0,2,3,0,4,0,0,4,10,53,1,6,18,2,6,1,0,11,0,2,3,9,3,0,2,1,0,0,0,0,0,0,0,0,0,3,3,0,2,0,3,0,0,0,0,1,1,3,2,4,4,7,10,1,2,1,0,6,2,1,1,1,3,4,1,0,3,12,3,15,0,21,40,2,9,0,0,12,1,2,2,4,2,3,3,0,3,2,7,8,7,2,3,47,5,0,0,0,1,1,9,2,1,0,0,1,1,5,0,0,0,1,3,1,9,1,1,0,1,0,1,2,2,6,2,2,1,2,0,1,6,0,6,1,2,57,25,2,25,9,4,1,1,10,6,28,0,5,1,0,5,0,0,0,9,25,39,1,18,26,0,3,2,11,12,22,0,6,2,0,2,5,4,0,2,1,4,16,5,7,0,0,1,6,5,0,0,1,0,0,2,0,0,0,0,7,9,0,7,4,0,0,0,2,3,3,0,0,2,5,0,0,2,0,1,0,0,0,0,10,0,0,0,1,5,0,2,0,1,8,0,1,3,0,1,0,0,2,1,0,32,3,1,0,1,1,2,1,3,7,0,4,5,1,1,1,1,6,0,1,5,5,5,2,3,2,1,5,8,5,1,3,4,4,6,0,1,6,0,0,1,12,30,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,4,3,0,0,6,7,1,1,0,2,2,18,2,3,1,2,51,31,3,15,11,3,2,5,4,6,61,1
